id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
695,Neptune-like,2020,6.08 Earths,0.209 x Jupiter,Unknown,8 days,0.0,
696,Neptune-like,2020,6.14 Earths,0.21 x Jupiter,Unknown,12 days,0.0,
697,Gas Giant,2018,14 Jupiters,1.1 x Jupiter,2.1 AU,2.2 years,0.13,
698,Gas Giant,2013,1.13 Jupiters,1.22 x Jupiter,0.11 AU,12.6 days,0.02,
699,Gas Giant,2013,1.9 Jupiters,1.2 x Jupiter,0.8 AU,248.4 days,0.08,
700,Gas Giant,2006,2.218 Jupiters,1.19 x Jupiter,2.32 AU,3.2 years,0.02,
701,Gas Giant,2012,0.768 Jupiters,1.25 x Jupiter,1.032 AU,351 days,0.18,
702,Gas Giant,2015,0.934 Jupiters,1.23 x Jupiter,1.492 AU,1.6 years,0.1,
703,Gas Giant,2015,3.62 Jupiters,1.16 x Jupiter,3.584 AU,5.9 years,0.1,
704,Gas Giant,2000,4.3 Jupiters,Unknown,1.5 AU,1.8 years,0.13,
705,Gas Giant,2004,4.4 Jupiters,Unknown,4.17 AU,10.8 years,0.1,
706,Neptune-like,2004,10.17 Earths,0.283 x Jupiter,0.09286 AU,9.6 days,0.0,
707,Gas Giant,2006,7 Jupiters,Unknown,0.934 AU,307.9 days,0.07,
708,Gas Giant,2021,0.57 Jupiters,1.26 x Jupiter,0.85 AU,279.3 days,0.04,
709,Gas Giant,2000,0.26 Jupiters,0.971 x Jupiter,0.36 AU,75.5 days,0.25,
710,Gas Giant,2009,5.9 Jupiters,1.14 x Jupiter,2.12 AU,2.7 years,0.6,
711,Gas Giant,2002,9.84 Jupiters,1.11 x Jupiter,0.08 AU,8.4 days,0.28,
712,Gas Giant,2010,0.7836 Jupiters,1.24 x Jupiter,0.362 AU,75.2 days,0.74,
713,Gas Giant,2010,2.201 Jupiters,1.19 x Jupiter,2.39 AU,3.5 years,0.08,
714,Neptune-like,2008,22.1 Earths,0.446 x Jupiter,0.14 AU,17.2 days,0.2,
715,Gas Giant,2010,0.443 Jupiters,1.28 x Jupiter,0.87 AU,280.2 days,0.24,
716,Neptune-like,2015,16.14 Earths,0.371 x Jupiter,0.23 AU,40 days,0.09,
717,Gas Giant,2009,1.99792 Jupiters,1.19 x Jupiter,1.331 AU,1.8 years,0.35,
718,Gas Giant,2005,0.36497 Jupiters,1.19 x Jupiter,2.16 AU,3.3 years,0.08,
719,Neptune-like,2016,13 Earths,0.327 x Jupiter,0.341 AU,75.7 days,0.12,
720,Super Earth,2020,4 Earths,1.83 x Earth,0.103 AU,12.5 days,0.12,
721,Neptune-like,2021,10.52012 Earths,0.288 x Jupiter,0.2292 AU,41.8 days,0.09,
722,Gas Giant,2023,18.7 Jupiters,1.08 x Jupiter,3.54 AU,6.4 years,0.67,
723,Gas Giant,2016,2.89 Jupiters,1.18 x Jupiter,1.13 AU,434.5 days,0.2,
724,Gas Giant,2015,6.43 Jupiters,1.13 x Jupiter,0.94 AU,270 days,0.63,
725,Gas Giant,2012,3.8 Jupiters,1.16 x Jupiter,5.42 AU,14.1 years,0.73,
726,Gas Giant,2007,1.7 Jupiters,1.2 x Jupiter,1.32 AU,420.8 days,0.09,
727,Gas Giant,2023,2.85 Jupiters,1.18 x Jupiter,2.877 AU,5 years,0.18,
728,Gas Giant,2022,0.85 Jupiters,1.24 x Jupiter,0.1512 AU,20.7 days,0.15,
729,Neptune-like,2021,9.53485 Earths,0.272 x Jupiter,0.1192 AU,15.1 days,0.12,
730,Gas Giant,1998,7.628 Jupiters,1.13 x Jupiter,0.292 AU,58.1 days,0.53,
731,Gas Giant,2000,17.306 Jupiters,1.09 x Jupiter,2.842 AU,4.8 years,0.21,
732,Gas Giant,2002,0.27 Jupiters,0.993 x Jupiter,0.07 AU,6.4 days,0.11,
733,Gas Giant,2022,6.78 Jupiters,1.13 x Jupiter,10.961 AU,40.5 years,0.19,
734,Gas Giant,2022,9.065 Jupiters,1.12 x Jupiter,6.443 AU,18.4 years,0.67,
735,Gas Giant,2010,8.79 Jupiters,1.12 x Jupiter,1.36 AU,1.5 years,0.64,
736,Gas Giant,2023,3 Jupiters,1.17 x Jupiter,37.2 AU,166.9 years,0.0,
737,Gas Giant,2000,2.531 Jupiters,1.18 x Jupiter,0.765 AU,225.7 days,0.29,
738,Gas Giant,2003,7.669 Jupiters,1.13 x Jupiter,3.075 AU,5 years,0.25,
739,Gas Giant,2007,0.66 Jupiters,1.25 x Jupiter,2.24 AU,3.1 years,0.11,
740,Gas Giant,2007,10.13 Jupiters,1.11 x Jupiter,1.31 AU,359.9 days,0.17,
741,Gas Giant,2007,2.62 Jupiters,1.18 x Jupiter,1.32 AU,1.5 years,0.59,
742,Gas Giant,2009,8.8 Jupiters,1.12 x Jupiter,2.57 AU,4.2 years,0.23,
743,Gas Giant,2007,3.51 Jupiters,1.1 x Jupiter,0.16278 AU,21.2 days,0.68,
744,Gas Giant,2008,2.7 Jupiters,1.18 x Jupiter,1.16 AU,323.6 days,0.21,
745,Gas Giant,2022,4.2 Jupiters,1.16 x Jupiter,1.7 AU,1.6 years,0.4,
746,Gas Giant,2009,6.411 Jupiters,1.13 x Jupiter,2.307 AU,3.5 years,0.53,
747,Gas Giant,2007,0.598 Jupiters,1.26 x Jupiter,0.975 AU,298.4 days,0.11,
748,Neptune-like,2015,8.98 Earths,0.263 x Jupiter,Unknown,29 days,0.11,
749,Gas Giant,2017,0.87 Jupiters,1.24 x Jupiter,1.42 AU,1.7 years,< 0.13,
750,Neptune-like,2017,5.74 Earths,0.202 x Jupiter,0.06296 AU,6.5 days,0.07,
751,Neptune-like,2017,9.18 Earths,0.266 x Jupiter,0.11878 AU,16.8 days,0.11,
752,Neptune-like,2017,15.1 Earths,0.357 x Jupiter,0.246 AU,44.5 days,0.06,
753,Gas Giant,1999,1.69 Jupiters,1.2 x Jupiter,1.14 AU,410.1 days,0.1,
754,Gas Giant,2010,0.15 Jupiters,0.702 x Jupiter,0.5137 AU,110.9 days,0.3,
755,Gas Giant,2001,8.03 Jupiters,1.12 x Jupiter,0.34 AU,71.5 days,0.11,
756,Neptune-like,2008,25.74423 Earths,0.488 x Jupiter,0.1214 AU,14.5 days,0.05,
757,Gas Giant,2000,0.916 Jupiters,1.24 x Jupiter,0.0443 AU,3.1 days,0.02,
758,Gas Giant,2018,2.194 Jupiters,1.19 x Jupiter,0.843 AU,213.7 days,0.08,
759,Gas Giant,2018,3.3 Jupiters,1.17 x Jupiter,3.87 AU,6.2 years,0.15,
760,Gas Giant,2010,20.13 Jupiters,1.08 x Jupiter,1.46 AU,396 days,0.26,
761,Neptune-like,2018,12.214 Earths,0.315 x Jupiter,0.343 AU,105.9 days,0.1,
762,Gas Giant,2009,1.685 Jupiters,1.2 x Jupiter,1.4 AU,1.4 years,0.11,
763,Gas Giant,2019,9.379 Jupiters,1.12 x Jupiter,7.427 AU,20.8 years,0.73,
764,Gas Giant,2009,2.54 Jupiters,1.18 x Jupiter,1.592 AU,1.5 years,0.02,
765,Neptune-like,2008,6.3566 Earths,0.214 x Jupiter,0.08 AU,9.4 days,0.4,
766,Gas Giant,2008,0.64 Jupiters,1.26 x Jupiter,1.76 AU,2.6 years,0.28,
767,Gas Giant,2008,0.54 Jupiters,1.27 x Jupiter,3.0 AU,6 years,0.48,
768,Neptune-like,2022,10.80617 Earths,0.293 x Jupiter,0.088 AU,10.3 days,0.22,
769,Gas Giant,2022,9.998 Jupiters,1.11 x Jupiter,17.53 AU,79.4 years,0.19,
770,Gas Giant,2009,0.4 Jupiters,1.25 x Jupiter,1.85 AU,2.6 years,0.26,
771,Gas Giant,2004,3.471 Jupiters,1.17 x Jupiter,1.46 AU,1.7 years,0.38,
772,Gas Giant,2008,9.31 Jupiters,1.12 x Jupiter,5.585 AU,12.8 years,0.05,
773,Neptune-like,2021,19.7 Earths,0.317 x Jupiter,0.1334 AU,17.5 days,0.28,
774,Gas Giant,2022,0.31 Jupiters,1.08 x Jupiter,0.94 AU,286.6 days,0.0,
775,Gas Giant,2022,0.3 Jupiters,1.06 x Jupiter,1.334 AU,484.3 days,0.0,
776,Gas Giant,2022,0.45 Jupiters,1.28 x Jupiter,1.92 AU,2.3 years,0.0,
777,Gas Giant,2023,21 Jupiters,1.08 x Jupiter,2.1 AU,2.2 years,0.1,
778,Gas Giant,2006,1.01 Jupiters,1.23 x Jupiter,0.077 AU,6.8 days,0.23,
779,Neptune-like,2022,24.1 Earths,0.232 x Jupiter,0.048 AU,4.1 days,0.34,
780,Gas Giant,2006,0.836 Jupiters,1.24 x Jupiter,2.1 AU,2.8 years,0.25,
781,Gas Giant,1998,0.523 Jupiters,1.27 x Jupiter,0.0426 AU,3.1 days,0.01,
782,Gas Giant,2008,1.99 Jupiters,1.19 x Jupiter,4.89 AU,10.4 years,0.25,
783,Gas Giant,2011,3.4 Jupiters,1.17 x Jupiter,1.82 AU,2.1 years,0.04,
784,Gas Giant,2004,1.5 Jupiters,1.21 x Jupiter,1.203 AU,461.2 days,0.14,
785,Gas Giant,2022,29.365 Jupiters,1.06 x Jupiter,12.027 AU,40 years,0.03,
786,Neptune-like,2021,8.5 Earths,0.254 x Jupiter,0.111 AU,14.3 days,< 0.189,
787,Neptune-like,2021,7 Earths,0.227 x Jupiter,0.197 AU,33.7 days,0.16,
788,Gas Giant,2005,1.13 Jupiters,1.13 x Jupiter,0.03126 AU,2.2 days,0.0,
789,Neptune-like,2020,16.46 Earths,0.375 x Jupiter,0.092 AU,11.7 days,0.14,
790,Gas Giant,2022,5.03 Jupiters,1.15 x Jupiter,2.406 AU,3.1 years,0.56,
791,Gas Giant,2003,1.8 Jupiters,1.2 x Jupiter,3.9 AU,7.8 years,0.34,
792,Neptune-like,2005,19.069 Earths,0.409 x Jupiter,0.1304 AU,17.1 days,0.24,
793,Gas Giant,2007,1.985 Jupiters,1.19 x Jupiter,2.231 AU,3.2 years,0.22,
794,Gas Giant,2009,3.58 Jupiters,1.16 x Jupiter,5.5 AU,13.4 years,0.57,
795,Gas Giant,2016,9.334 Jupiters,1.12 x Jupiter,2.749 AU,4.4 years,0.21,
796,Neptune-like,2020,10 Earths,0.304 x Jupiter,0.0804 AU,8.9 days,0.03,
797,Neptune-like,2020,8 Earths,0.285 x Jupiter,0.1752 AU,28.6 days,0.03,
798,Neptune-like,2020,2.8 Earths,0.267 x Jupiter,0.2132 AU,38.4 days,0.03,
799,Gas Giant,2022,0.35302 Jupiters,1.16 x Jupiter,0.407 AU,101.1 days,0.03,
800,Gas Giant,2022,2.07659 Jupiters,1.19 x Jupiter,3.2 AU,6 years,0.0,
801,Neptune-like,2022,13.5 Earths,0.334 x Jupiter,0.812 AU,284 days,0.03,
802,Gas Giant,1999,0.56 Jupiters,1.26 x Jupiter,0.15 AU,24.4 days,0.05,
803,Neptune-like,2011,16.9 Earths,0.381 x Jupiter,0.32 AU,74.7 days,0.13,
804,Neptune-like,2011,24 Earths,0.469 x Jupiter,1.18 AU,1.4 years,0.32,
805,Gas Giant,2007,2.096 Jupiters,1.19 x Jupiter,1.063 AU,340.9 days,0.08,
806,Gas Giant,2022,11.207 Jupiters,1.11 x Jupiter,11.116 AU,35.9 years,0.25,
807,Gas Giant,1998,3.98 Jupiters,1.16 x Jupiter,0.14 AU,18.2 days,0.01,
808,Gas Giant,2002,4.55 Jupiters,1.15 x Jupiter,2.51 AU,3.8 years,0.23,
809,Gas Giant,2012,12.5 Jupiters,1.1 x Jupiter,5.02 AU,10 years,0.66,
810,Gas Giant,2022,8.5 Jupiters,1.12 x Jupiter,1.1 AU,402 days,0.2,
811,Gas Giant,2007,2.58 Jupiters,1.18 x Jupiter,2.37 AU,3.7 years,0.48,
812,Gas Giant,2012,0.79 Jupiters,1.24 x Jupiter,2.07 AU,2.8 years,0.22,
813,Gas Giant,2022,0.136 Jupiters,0.663 x Jupiter,0.426 AU,99.6 days,0.37,
814,Gas Giant,2003,1.37 Jupiters,1.21 x Jupiter,1.305 AU,466.2 days,0.06,
815,Neptune-like,2019,11.66 Earths,0.306 x Jupiter,0.0974 AU,11.8 days,0.36,
816,Neptune-like,2019,14.44 Earths,0.347 x Jupiter,0.1964 AU,33.9 days,0.1,
817,Gas Giant,2010,1.599 Jupiters,1.21 x Jupiter,1.565 AU,1.7 years,0.09,
818,Gas Giant,2010,1.214 Jupiters,1.22 x Jupiter,1.96 AU,2.3 years,0.24,
819,Gas Giant,2004,17.9 Jupiters,1.08 x Jupiter,2.41 AU,3.5 years,0.22,
820,Gas Giant,2019,1.996 Jupiters,Unknown,1.566 AU,1.4 years,0.01,
821,Gas Giant,2019,1.864 Jupiters,Unknown,2.342 AU,2.6 years,0.03,
822,Gas Giant,2019,1.017 Jupiters,1.545 x Jupiter,0.05208 AU,3.3 days,0.04,
823,Gas Giant,2006,11 Jupiters,1.29 x Jupiter,487.1 AU,11094.6 years,0.0,
824,Super Earth,2022,7.42 Earths,1.72 x Earth,0.018 AU,0.9 days,0.0,
825,Gas Giant,2022,3.48 Jupiters,1.17 x Jupiter,1.771 AU,1.4 years,0.73,
826,Gas Giant,2022,7.485 Jupiters,1.13 x Jupiter,5.067 AU,6.8 years,0.2,
827,Gas Giant,2002,6.29 Jupiters,1.14 x Jupiter,2.2 AU,3.1 years,0.71,
828,Gas Giant,2010,4.615 Jupiters,1.15 x Jupiter,3.185 AU,5.6 years,0.1,
829,Neptune-like,2015,17.16273 Earths,0.385 x Jupiter,0.211 AU,35 days,0.06,
830,Gas Giant,2022,15.317 Jupiters,1.09 x Jupiter,7.457 AU,20.1 years,0.25,
831,Gas Giant,2011,0.23 Jupiters,0.903 x Jupiter,2.55 AU,4.7 years,0.37,
832,Gas Giant,2022,0.392 Jupiters,1.24 x Jupiter,0.177 AU,25.3 days,0.15,
833,Gas Giant,2008,1.37 Jupiters,1.21 x Jupiter,0.896 AU,279.8 days,0.27,
834,Neptune-like,2019,34.2 Earths,0.577 x Jupiter,0.461 AU,96 days,0.23,
835,Gas Giant,2009,2.036 Jupiters,1.19 x Jupiter,1.74 AU,1.8 years,0.1,
836,Gas Giant,2021,28 Jupiters,1.25 x Jupiter,9.6 AU,25.6 years,0.14,
837,Gas Giant,2022,12.7 Jupiters,1.46 x Jupiter,3.53 AU,5.7 years,0.41,
838,Super Earth,2023,6.1 Earths,0.201 x Jupiter,0.0629 AU,6.4 days,0.23,
839,Super Earth,2019,1.93 Earths,1.21 x Earth,0.0529 AU,5.3 days,0.1,
840,Neptune-like,2019,5.33 Earths,2.17 x Earth,0.1004 AU,13.9 days,0.09,
841,Neptune-like,2019,10.61 Earths,0.29 x Jupiter,0.1647 AU,29.2 days,0.11,
842,Neptune-like,2019,14.03 Earths,0.342 x Jupiter,0.3374 AU,85.5 days,0.06,
843,Gas Giant,2006,1.4878 Jupiters,1.21 x Jupiter,1.3649 AU,1.6 years,0.95,
844,Gas Giant,2012,0.56 Jupiters,1.26 x Jupiter,0.586 AU,160.1 days,0.2,
845,Gas Giant,2012,0.73 Jupiters,1.25 x Jupiter,2.112 AU,3.2 years,0.27,
846,Super Earth,2021,14.4 Earths,0.223 x Jupiter,0.1163 AU,16.2 days,0.05,
847,Super Earth,2011,2.7 Earths,1.45 x Earth,0.1207 AU,18.3 days,0.0,
848,Super Earth,2011,2.4 Earths,1.35 x Earth,0.2036 AU,40.1 days,0.0,
849,Super Earth,2011,4.8 Earths,2.04 x Earth,0.3499 AU,90.3 days,0.0,
850,Super Earth,2017,4.77 Earths,2.03 x Earth,0.509 AU,147 days,0.29,
851,Gas Giant,2004,0.52 Jupiters,1.27 x Jupiter,0.524 AU,130.1 days,0.24,
852,Gas Giant,2012,9.9 Jupiters,1.11 x Jupiter,2.1 AU,2.4 years,0.08,
853,Gas Giant,2008,1.25 Jupiters,1.22 x Jupiter,0.95 AU,380.9 days,0.75,
854,Gas Giant,2017,1.4 Jupiters,1.21 x Jupiter,1.05 AU,352.7 days,0.07,
855,Gas Giant,1999,0.73 Jupiters,1.39 x Jupiter,0.04707 AU,3.5 days,0.0,
856,Gas Giant,2019,0.4817 Jupiters,1.27 x Jupiter,1.487 AU,1.8 years,0.24,
857,Gas Giant,1998,1.29 Jupiters,1.22 x Jupiter,1.13 AU,442.2 days,0.48,
858,Gas Giant,2007,1.808 Jupiters,1.2 x Jupiter,1.148 AU,354.1 days,0.03,
859,Gas Giant,2021,5.54 Jupiters,1.14 x Jupiter,0.768 AU,223.8 days,0.08,
860,Gas Giant,2018,0.67 Jupiters,1.25 x Jupiter,2.656 AU,4.3 years,0.68,
861,Neptune-like,2019,13 Earths,0.327 x Jupiter,0.143 AU,25.2 days,0.15,
862,Gas Giant,2005,0.51 Jupiters,1.27 x Jupiter,0.03 AU,2.2 days,0.0,
863,Gas Giant,2009,2.39 Jupiters,1.18 x Jupiter,1.19 AU,380.7 days,0.08,
864,Gas Giant,2001,5.21 Jupiters,1.14 x Jupiter,1.89 AU,2.4 years,0.42,
865,Gas Giant,2021,3.5 Jupiters,1.17 x Jupiter,13.0 AU,46.6 years,0.53,
866,Neptune-like,2022,9.21702 Earths,0.267 x Jupiter,0.099 AU,11.1 days,0.41,
867,Super Earth,2019,8.83 Earths,1.745 x Earth,0.02012 AU,1 days,0.0,
868,Neptune-like,2019,19.95 Earths,0.42 x Jupiter,0.056798 AU,4.8 days,0.0,
869,Gas Giant,2019,0.20734 Jupiters,0.85 x Jupiter,0.362 AU,84.3 days,0.4,
870,Gas Giant,2016,18.61 Jupiters,1.08 x Jupiter,3.08 AU,5.1 years,0.16,
871,Super Earth,2018,1.819 Earths,1.19 x Earth,0.057638 AU,5.8 days,0.0,
872,Super Earth,2018,1.72 Earths,1.17 x Earth,0.067393 AU,7.3 days,0.0,
873,Super Earth,2018,2.801 Earths,1.48 x Earth,0.08799 AU,10.9 days,0.0,
874,Super Earth,2018,2.877 Earths,1.51 x Earth,0.15417 AU,25.2 days,0.0,
875,Neptune-like,2009,6.3566 Earths,0.214 x Jupiter,0.05 AU,3.9 days,0.16,
876,Gas Giant,2009,0.33 Jupiters,1.11 x Jupiter,1.282 AU,1.6 years,0.49,
877,Gas Giant,2002,1.26 Jupiters,1.22 x Jupiter,2.56 AU,3.6 years,0.07,
878,Gas Giant,2002,3.88 Jupiters,1.16 x Jupiter,2.497 AU,3.7 years,0.32,
879,Neptune-like,2020,10.26 Earths,0.284 x Jupiter,0.198 AU,35.5 days,0.09,
880,Neptune-like,2020,9.44 Earths,0.271 x Jupiter,0.528 AU,154.4 days,0.12,
881,Gas Giant,2015,1.05 Jupiters,1.23 x Jupiter,0.61 AU,148.6 days,0.38,
882,Gas Giant,2003,0.57 Jupiters,1.26 x Jupiter,0.46 AU,118.5 days,0.37,
883,Neptune-like,2019,8.23 Earths,0.25 x Jupiter,0.1455 AU,22.7 days,0.12,
884,Neptune-like,2019,17.37 Earths,0.387 x Jupiter,0.2586 AU,53.7 days,0.07,
885,Gas Giant,1998,1.3 Jupiters,1.22 x Jupiter,0.08 AU,7.1 days,0.13,
886,Gas Giant,2005,2.6 Jupiters,1.18 x Jupiter,5.32 AU,11.7 years,0.52,
887,Super Earth,2019,3.7 Earths,0.892 x Earth,0.0695 AU,7.8 days,0.0,
888,Gas Giant,2011,13.852 Jupiters,1.1 x Jupiter,2.446 AU,3.6 years,0.31,
889,Neptune-like,2022,7.31005 Earths,0.233 x Jupiter,0.038 AU,2.5 days,0.4,
890,Gas Giant,2022,0.524 Jupiters,1.27 x Jupiter,3.758 AU,7 years,0.16,
891,Gas Giant,2010,0.2 Jupiters,0.832 x Jupiter,0.69 AU,225.7 days,0.3,
892,Gas Giant,2012,9.62 Jupiters,1.11 x Jupiter,5.935 AU,15 years,0.77,
893,Super Earth,2015,4.74 Earths,1.602 x Earth,0.03876 AU,3.1 days,0.0,
894,Super Earth,2015,4.36 Earths,1.511 x Earth,0.0653 AU,6.8 days,0.06,
895,Super Earth,2015,16.17 Earths,1.61 x Earth,0.237 AU,46.9 days,0.14,
896,Super Earth,2015,7.3 Earths,1.31 x Earth,0.1463 AU,22.7 days,0.15,
897,Neptune-like,2015,10.80622 Earths,0.293 x Jupiter,0.3753 AU,94.2 days,0.0,
898,Gas Giant,2015,0.34 Jupiters,1.14 x Jupiter,3.11 AU,6.2 years,0.06,
899,Gas Giant,2021,0.78 Jupiters,1.24 x Jupiter,0.94 AU,275.5 days,0.11,
900,Gas Giant,2012,1 Jupiter,1.23 x Jupiter,3.2 AU,5.7 years,0.4,
901,Neptune-like,2018,16.6 Earths,0.42 x Jupiter,0.06356 AU,6 days,0.0,
902,Neptune-like,2007,19.0697 Earths,0.409 x Jupiter,0.049 AU,3.8 days,0.09,
903,Gas Giant,2016,16.054 Jupiters,1.09 x Jupiter,5.657 AU,13.1 years,0.81,
904,Gas Giant,2012,16.64 Jupiters,1.09 x Jupiter,1.6 AU,1.8 years,0.14,
905,Gas Giant,2018,0.2 Jupiters,0.832 x Jupiter,2.729 AU,4.7 years,0.19,
906,Gas Giant,2012,1.2 Jupiters,1.22 x Jupiter,3.396 AU,6.2 years,0.05,
907,Gas Giant,2011,1.45 Jupiters,1.21 x Jupiter,4.94 AU,10.2 years,0.51,
908,Gas Giant,2016,3.18 Jupiters,1.17 x Jupiter,0.74 AU,218.5 days,0.4,
909,Gas Giant,2007,3.09 Jupiters,1.17 x Jupiter,1.25 AU,456.1 days,0.08,
910,Gas Giant,2019,0.19 Jupiters,0.836 x Jupiter,0.1228 AU,14.3 days,0.12,
911,Gas Giant,2019,20.35 Jupiters,1.08 x Jupiter,8.398 AU,23.6 years,0.08,
912,Gas Giant,2016,1.61 Jupiters,1.21 x Jupiter,2.306 AU,3.2 years,0.12,
913,Gas Giant,2016,1.56 Jupiters,1.21 x Jupiter,1.83 AU,2.4 years,0.08,
914,Gas Giant,2011,1.83 Jupiters,1.2 x Jupiter,5.14 AU,11 years,0.16,
915,Gas Giant,1999,8.37 Jupiters,1.12 x Jupiter,1.34 AU,1.6 years,0.73,
916,Gas Giant,2016,6.531 Jupiters,1.13 x Jupiter,2.375 AU,3.3 years,0.48,
917,Gas Giant,2006,0.7 Jupiters,1.25 x Jupiter,0.191 AU,26.7 days,0.1,
918,Neptune-like,2021,5.57 Earths,2.22 x Earth,0.051 AU,5.1 days,0.0,
919,Gas Giant,2022,2.12 Jupiters,1.19 x Jupiter,1.9 AU,2.4 years,0.03,
920,Gas Giant,2011,13.65 Jupiters,1.1 x Jupiter,1.167 AU,1.4 years,0.82,
921,Gas Giant,2001,2.61 Jupiters,1.18 x Jupiter,1.6 AU,2 years,0.1,
922,Gas Giant,2006,1.527 Jupiters,1.21 x Jupiter,2.37 AU,3.3 years,0.41,
923,Gas Giant,2007,1.13 Jupiters,1.22 x Jupiter,0.567 AU,141.6 days,0.13,
924,Gas Giant,2013,6.575 Jupiters,1.13 x Jupiter,0.747 AU,192 days,0.05,
925,Gas Giant,2018,1.78 Jupiters,1.2 x Jupiter,2.827 AU,5.6 years,0.36,
926,Super Earth,2019,8.32 Earths,2.0 x Earth,0.1162 AU,17.7 days,0.07,
927,Super Earth,2019,3.41 Earths,1.87 x Earth,0.1646 AU,29.8 days,0.06,
928,Terrestrial,2022,0.55 Earths,0.75 x Earth,0.04298 AU,4 days,0.07,
929,Terrestrial,2022,0.72 Earths,0.818 x Earth,0.068 AU,7.9 days,0.07,
930,Super Earth,2022,0.77 Earths,1.137 x Earth,0.0906 AU,12.2 days,0.07,
931,Gas Giant,2003,11.914 Jupiters,1.1 x Jupiter,2.694 AU,4.2 years,0.28,
932,Neptune-like,2020,6.89 Earths,0.225 x Jupiter,0.0932 AU,13.7 days,0.3,
933,Gas Giant,2018,6 Jupiters,1.14 x Jupiter,5.7 AU,11.2 years,0.56,
934,Gas Giant,2009,5.21 Jupiters,1.14 x Jupiter,1.16 AU,1.4 years,0.15,
935,Gas Giant,2011,15.89 Jupiters,1.09 x Jupiter,1.92 AU,2 years,0.4,
936,Gas Giant,2006,3.86 Jupiters,1.16 x Jupiter,4.92 AU,10 years,0.04,
937,Gas Giant,2021,0.201 Jupiters,0.834 x Jupiter,1.3 AU,1.4 years,0.11,
938,Gas Giant,2015,12.89 Jupiters,1.1 x Jupiter,1.29 AU,1.5 years,0.35,
939,Neptune-like,2019,11.8 Earths,0.309 x Jupiter,0.034 AU,2 days,0.22,
940,Gas Giant,2019,9.077 Jupiters,1.12 x Jupiter,6.248 AU,16.8 years,0.34,
941,Gas Giant,2010,0.915 Jupiters,1.24 x Jupiter,2.971 AU,4.9 years,0.04,
942,Gas Giant,2020,2.5 Jupiters,1.18 x Jupiter,1.49 AU,457 days,0.04,
943,Gas Giant,2022,38.13941 Earths,0.616 x Jupiter,0.242 AU,41.8 days,0.05,
944,Gas Giant,2022,16.527 Jupiters,1.09 x Jupiter,17.848 AU,72.1 years,0.05,
945,Super Earth,2022,2.14 Earths,1.24 x Earth,0.02933 AU,2.8 days,0.04,
946,Super Earth,2022,3.09 Earths,1.533 x Earth,0.04749 AU,5.7 days,0.04,
947,Gas Giant,2021,28.46 Jupiters,1.06 x Jupiter,10.087 AU,30 years,0.92,
948,Gas Giant,2005,0.42 Jupiters,1.28 x Jupiter,0.04 AU,3.4 days,0.0,
949,Gas Giant,2019,1.17 Jupiters,1.44 x Jupiter,0.0568 AU,4.1 days,0.09,
950,Neptune-like,2018,8.47 Earths,0.254 x Jupiter,Unknown,42.4 days,0.04,
951,Gas Giant,2000,1.56 Jupiters,1.21 x Jupiter,1.271 AU,428.1 days,0.06,
952,Gas Giant,2012,1.56 Jupiters,1.21 x Jupiter,3.242 AU,6 years,0.14,
953,Gas Giant,2005,0.619 Jupiters,1.26 x Jupiter,0.125 AU,18 days,0.05,
954,Gas Giant,2017,0.162 Jupiters,0.735 x Jupiter,0.198 AU,36.1 days,0.02,
955,Gas Giant,2017,6.493 Jupiters,1.13 x Jupiter,5.362 AU,13.8 years,0.34,
956,Gas Giant,2021,4.8 Jupiters,1.15 x Jupiter,1.552 AU,1.8 years,0.18,
957,Super Earth,2022,18.496 Earths,2.199 x Earth,0.1357 AU,22.9 days,< 0.3307,
958,Neptune-like,2022,7.943 Earths,0.377 x Jupiter,0.308 AU,56 days,< 0.1203,
959,Neptune-like,2022,5.681 Earths,0.29 x Jupiter,0.411 AU,84.3 days,< 0.0864,
960,Gas Giant,2001,5.837 Jupiters,1.14 x Jupiter,1.035 AU,385.5 days,0.06,
961,Gas Giant,2022,19.639 Jupiters,1.08 x Jupiter,13.176 AU,47.7 years,0.12,
962,Gas Giant,2022,0.314 Jupiters,1.08 x Jupiter,0.118 AU,14.2 days,0.1,
963,Gas Giant,2010,1.16 Jupiters,1.22 x Jupiter,2.15 AU,3.1 years,0.81,
964,Gas Giant,2013,0.98 Jupiters,1.23 x Jupiter,0.06 AU,6.1 days,0.09,
965,Neptune-like,2008,8.4 Earths,0.253 x Jupiter,0.066 AU,8.8 days,0.0,
966,Gas Giant,2011,1.542 Jupiters,1.21 x Jupiter,1.18 AU,380.2 days,0.15,
967,Gas Giant,2017,4.47 Jupiters,1.15 x Jupiter,2.28 AU,3.7 years,0.46,
968,Gas Giant,2009,2.43 Jupiters,1.18 x Jupiter,3.43 AU,6.7 years,0.08,
969,Gas Giant,2022,1.57 Jupiters,1.21 x Jupiter,1.913 AU,2.4 years,0.05,
970,Gas Giant,2013,1.37 Jupiters,1.21 x Jupiter,1.23 AU,311.6 days,0.13,
971,Gas Giant,2022,5.473 Jupiters,1.14 x Jupiter,13.39 AU,56.5 years,0.26,
972,Gas Giant,2002,8.403 Jupiters,1.12 x Jupiter,3.604 AU,6.9 years,0.21,
973,Gas Giant,2016,6.15 Jupiters,1.14 x Jupiter,10.258 AU,33.1 years,0.04,
