id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
4688,Unknown,2015,Unknown,Unknown,18.6 AU,365 days,0.0,
4689,Neptune-like,2020,30.8 Earths,0.419 x Jupiter,0.0417 AU,4.1 days,0.04,
4690,Super Earth,2019,1.94 Earths,1.212 x Earth,0.00978 AU,0.9 days,0.0,
4691,Neptune-like,2019,7.1 Earths,0.218 x Jupiter,0.02961 AU,5 days,0.0,
4692,Super Earth,2023,0.9 Earths,1.032 x Earth,0.01992 AU,2.8 days,0.0,
4693,Super Earth,2022,13.2 Earths,1.32 x Earth,0.01875 AU,2.7 days,0.0,
4694,Super Earth,2022,25.3 Earths,1.367 x Earth,0.03984 AU,8.5 days,0.0,
4695,Neptune-like,2019,13.3 Earths,0.331 x Jupiter,0.0876 AU,14.4 days,0.18,
4696,Super Earth,2019,2.87 Earths,1.305 x Earth,0.03813 AU,5.4 days,< 0.11,
4697,Super Earth,2022,1.54 Earths,1.147 x Earth,0.02661 AU,3.1 days,< 0.223,
4698,Super Earth,2020,2.62 Earths,1.332 x Earth,0.01211 AU,0.8 days,0.0,
4699,Super Earth,2020,8.6 Earths,0.205 x Jupiter,0.07673 AU,12.3 days,0.06,
4700,Neptune-like,2020,29.32 Earths,0.421 x Jupiter,0.01679 AU,0.8 days,0.0,
4701,Gas Giant,2007,0.81 Jupiters,0.89 x Jupiter,0.0464 AU,3.9 days,0.0,
4702,Gas Giant,2017,3.7 Jupiters,1.597 x Jupiter,0.040352 AU,2.1 days,0.0,
4703,Gas Giant,2020,3.1 Jupiters,1.53 x Jupiter,0.047 AU,2.8 days,0.0,
4704,Super Earth,2008,3.3 Earths,1.63 x Earth,0.62 AU,2 years,0.0,
4705,Gas Giant,2008,1.7 Jupiters,1.2 x Jupiter,5.9 AU,17.3 years,0.0,
4706,Neptune-like,2009,23.4 Earths,0.462 x Jupiter,1.1 AU,2.5 years,0.0,
4707,Gas Giant,2013,4.1 Jupiters,1.16 x Jupiter,2.7 AU,5.9 years,0.0,
4708,Neptune-like,2011,10.4 Earths,0.286 x Jupiter,3.2 AU,7.7 years,0.0,
4709,Gas Giant,2010,0.212 Jupiters,0.86 x Jupiter,2.03 AU,4 years,0.0,
4710,Gas Giant,2010,2.6 Jupiters,1.18 x Jupiter,1.8 AU,5.4 years,0.0,
4711,Gas Giant,2012,11 Jupiters,1.11 x Jupiter,1.21 AU,3.3 years,0.0,
4712,Gas Giant,2018,0.54 Jupiters,1.27 x Jupiter,2.42 AU,4.9 years,0.0,
4713,Neptune-like,2013,9.2 Earths,0.266 x Jupiter,0.92 AU,2.7 years,0.0,
4714,Gas Giant,2015,0.27 Jupiters,0.994 x Jupiter,1.72 AU,5.3 years,0.0,
4715,Gas Giant,2012,1.5 Jupiters,1.21 x Jupiter,2.0 AU,3.5 years,0.0,
4716,Neptune-like,2016,30 Earths,0.535 x Jupiter,4.14 AU,9.7 years,0.0,
4717,Neptune-like,2014,17 Earths,0.383 x Jupiter,0.95 AU,2.8 years,0.0,
4718,Neptune-like,2018,18 Earths,0.396 x Jupiter,0.69 AU,1.5 years,0.0,
4719,Gas Giant,2012,4.8 Jupiters,1.15 x Jupiter,1.1 AU,8.2 years,0.0,
4720,Gas Giant,2013,11.6 Jupiters,1.11 x Jupiter,4.3 AU,14.3 years,0.0,
4721,Gas Giant,2017,8.4 Jupiters,1.12 x Jupiter,10.2 AU,46.6 years,0.0,
4722,Neptune-like,2017,6.7 Earths,0.221 x Jupiter,0.9 AU,2.7 years,0.0,
4723,Gas Giant,2014,2.74 Jupiters,1.18 x Jupiter,3.03 AU,5.6 years,0.0,
4724,Super Earth,2016,3.24 Earths,1.62 x Earth,0.93 AU,6.3 years,0.0,
4725,Neptune-like,2018,33.7 Earths,0.572 x Jupiter,0.24 AU,429.4 days,0.0,
4726,Gas Giant,2017,2.8 Jupiters,1.18 x Jupiter,1.39 AU,3 years,0.0,
4727,Gas Giant,2018,0.62 Jupiters,1.26 x Jupiter,0.95 AU,2.4 years,0.0,
4728,Gas Giant,2022,18 Jupiters,1.08 x Jupiter,Unknown,365 days,0.0,
4729,Neptune-like,2022,11.3 Earths,0.301 x Jupiter,1.11 AU,2.4 years,0.0,
4730,Gas Giant,2023,0.14473 Jupiters,0.688 x Jupiter,2.74 AU,6.9 years,0.0,
4731,Gas Giant,2012,3.7 Jupiters,1.16 x Jupiter,8.3 AU,27.6 years,0.0,
4732,Gas Giant,2019,0.6 Jupiters,1.26 x Jupiter,0.48 AU,1.9 years,0.0,
4733,Gas Giant,2022,14.4 Jupiters,1.09 x Jupiter,242.4 AU,1251.8 years,0.56,
4734,Gas Giant,2014,2.4 Jupiters,1.18 x Jupiter,1.1 AU,357.8 days,0.09,
4735,Gas Giant,2017,23.7 Jupiters,1.07 x Jupiter,1.613 AU,2.1 years,0.0,Eclipse Timing Variations
4736,Gas Giant,2014,6.69 Jupiters,1.13 x Jupiter,0.53 AU,121.7 days,0.35,
4737,Gas Giant,2017,2.18 Jupiters,1.19 x Jupiter,Unknown,1.4 years,0.16,
4738,Gas Giant,2014,0.32 Jupiters,1.1 x Jupiter,Unknown,7 days,0.3,
4739,Gas Giant,2014,0.4 Jupiters,1.25 x Jupiter,Unknown,5.1 days,0.28,
4740,Gas Giant,2016,0.46 Jupiters,1.27 x Jupiter,Unknown,4.1 days,0.15,
